         1187194 function calls (1168088 primitive calls) in 7.779 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 axes.py:179(__call__)
        1    0.000    0.000    0.001    0.001 axes.py:1803(autoscale_view)
      101    0.006    0.000    2.546    0.025 axes.py:1866(draw)
        1    0.000    0.000    0.000    0.000 axes.py:196(set_lineprops)
        1    0.000    0.000    0.000    0.000 axes.py:2050(grid)
        1    0.000    0.000    0.000    0.000 axes.py:214(_xy_from_xy)
        1    0.000    0.000    0.000    0.000 axes.py:2325(xaxis_inverted)
        1    0.000    0.000    0.000    0.000 axes.py:2330(get_xbound)
        1    0.000    0.000    0.000    0.000 axes.py:2343(set_xbound)
        4    0.000    0.000    0.000    0.000 axes.py:2368(get_xlim)
        2    0.000    0.000    0.001    0.000 axes.py:2374(set_xlim)
      101    0.001    0.000    0.001    0.000 axes.py:2459(get_xscale)
        1    0.000    0.000    0.001    0.001 axes.py:250(_makeline)
        1    0.000    0.000    0.000    0.000 axes.py:2533(yaxis_inverted)
        1    0.000    0.000    0.000    0.000 axes.py:2538(get_ybound)
        1    0.000    0.000    0.000    0.000 axes.py:2546(set_ybound)
        4    0.000    0.000    0.000    0.000 axes.py:2570(get_ylim)
        2    0.000    0.000    0.000    0.000 axes.py:2576(set_ylim)
      101    0.000    0.000    0.001    0.000 axes.py:2662(get_yscale)
        1    0.000    0.000    0.001    0.001 axes.py:278(_plot_args)
        1    0.000    0.000    0.000    0.000 axes.py:2810(set_navigate)
        1    0.000    0.000    0.000    0.000 axes.py:2824(set_navigate_mode)
        1    0.000    0.000    0.000    0.000 axes.py:2944(set_cursor_props)
        2    0.000    0.000    0.001    0.000 axes.py:315(_grab_next_args)
        1    0.000    0.000    0.002    0.002 axes.py:338(Axes)
        1    0.000    0.000    0.071    0.071 axes.py:359(__init__)
        1    0.000    0.000    0.002    0.002 axes.py:3723(plot)
        1    0.000    0.000    0.000    0.000 axes.py:44(_string_to_bool)
        1    0.000    0.000    0.018    0.018 axes.py:500(_init_axis)
        1    0.000    0.000    0.000    0.000 axes.py:510(set_figure)
        1    0.000    0.000    0.000    0.000 axes.py:527(_set_lim_and_transforms)
        1    0.000    0.000    0.000    0.000 axes.py:53(_process_plot_format)
   193/85    0.000    0.000    0.006    0.000 axes.py:565(get_xaxis_transform)
       21    0.000    0.000    0.001    0.000 axes.py:588(get_xaxis_text1_transform)
